[Thu Jul 22 11:19:11.308 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:19:42.081 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:19:42.671 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:23:02.840 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:23:03.458 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:23:30.644 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:23:31.155 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:25:04.573 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:25:05.167 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:25:09.046 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:25:34.862 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:25:35.581 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:25:39.538 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:25:42.328 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:25:45.418 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:32:38.240 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:32:38.779 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:36:27.836 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:36:28.499 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:36:34.086 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:36:34.676 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:36:39.480 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:37:22.131 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:37:23.017 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:37:28.200 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:37:28.837 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:37:35.056 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:47:25.498 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:47:26.076 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:47:53.174 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:49:23.985 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:49:24.517 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:49:30.619 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:50:33.461 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
